from,to,line,km
성복,수지구청,신분당선,1.63
성수,용답,2호선,1.90
성신여대입구,정릉,우이신설선,1.15
성신여대입구,한성대입구,4호선,1.10
성환,직산,1호선,5.25
성환,평택,1호선,9.04
세류,수원,1호선,2.84
세마,오산대,1호선,2.61
세종대왕릉,여주,경강선,5.30
센트럴파크,인천대입구,인천1호선,0.93
소래포구,월곶,수인·분당선,1.33
소래포구,인천논현,수인·분당선,0.98
소사,소새울,서해선,1.56
소사,역곡,1호선,1.47
소새울,시흥대야,서해선,2.10
소요산,청산,1호선,5.37
송내,중동,1호선,1.01
송도,연수,수인·분당선,2.51
송도,인하대,수인·분당선,2.12
송산,어룡,의정부경전철,0.63
송산,탑석,의정부경전철,0.43
송탄,진위,1호선,3.81
송파나루,한성백제,9호선,0.68
수내,정자,수인·분당선,1.55
수색,한국항공대,경의·중앙선,3.45
수서,일원,3호선,1.62
수원,화서,1호선,2.11
수유,쌍문,4호선,1.40
수진,신흥,8호선,0.73
숭의,신포,수인·분당선,1.46
숭의,인하대,수인·분당선,1.74
시민공원,주안,인천2호선,0.76
시우,원시,서해선,1.41
시우,초지,서해선,1.21
시청,을지로입구,2호선,0.83
시청,종각,1호선,1.06
시청,충정로,2호선,1.00
시흥능곡,시흥시청,서해선,1.34
시흥대야,신천,서해선,1.32
시흥시청,신현,서해선,3.46
신검단중앙,아라,인천1호선,1.75
신금호,청구,5호선,0.86
신금호,행당,5호선,0.92
신길,여의도,5호선,0.81
신길,영등포,1호선,0.85
신길,영등포시장,5호선,1.16
신길온천,안산,4호선,2.26
신길온천,안산,수인·분당선,2.26
신길온천,정왕,4호선,2.64
신길온천,정왕,수인·분당선,2.64
신논현,언주,9호선,0.87
신답,용답,2호선,0.90
신답,용두,2호선,0.92
신당,청구,6호선,0.79
신대방,신림,2호선,1.48
신대방삼거리,장승배기,7호선,1.13
신도림,영등포,1호선,1.59
신둔도예촌,이천,경강선,6.58
신목동,염창,9호선,0.75
신사,압구정,3호선,1.35
신사,잠원,3호선,0.84
신설동,용두,2호선,1.09
신설동,제기동,1호선,0.79
신연수,원인재,인천1호선,0.87
신용산,이촌,4호선,0.89
신원,양수,경의·중앙선,4.51
신이문,외대앞,1호선,0.67
신정네거리,양천구청,2호선,1.42
신중동,춘의,7호선,0.97
신창,온양온천,1호선,4.75
신천,신현,서해선,3.30
신촌,이대,2호선,0.81
신촌,홍대입구,2호선,1.20
신포,인천,수인·분당선,1.06
쌍문,창동,4호선,1.18
쌍용,아산,1호선,1.53
아산,탕정,1호선,1.83
아신,오빈,경의·중앙선,2.83
아현,이대,2호선,0.91
아현,충정로,2호선,0.70
안국,종로3가,3호선,0.72
안산,초지,4호선,1.65
안산,초지,수인·분당선,1.65
암사,암사역사공원,8호선,1.21
암사,천호,8호선,1.26
암사역사공원,장자호수공원,8호선,3.29
압구정,옥수,3호선,1.89
애오개,충정로,5호선,0.90
야당,운정,경의·중앙선,1.53
야당,탄현,경의·중앙선,2.07
야목,어천,수인·분당선,2.53
야탑,이매,수인·분당선,1.78
약수,청구,6호선,0.67
양수,운길산,경의·중앙선,1.95
양재,양재시민의숲,신분당선,1.64
양재시민의숲,청계산입구,신분당선,2.81
양평(5호선),영등포구청,5호선,0.92
양평(5호선),오목교,5호선,0.97
양평(경의·중앙선),오빈,경의·중앙선,2.19
양평(경의·중앙선),원덕,경의·중앙선,5.50
어정,지석,에버라인,0.86
어천,오목천,수인·분당선,4.96
여의나루,여의도,5호선,0.94
역곡,온수,1호선,1.31
역촌,응암,6호선,1.02
연수,원인재,수인·분당선,0.86
연천,전곡,1호선,8.53
영등포구청,영등포시장,5호선,0.81
영종,운서,공항철도,3.48
영종,청라국제도시,공항철도,10.10
영통,청명,수인·분당선,1.20
예술회관,인천시청,인천1호선,0.76
예술회관,인천터미널,인천1호선,0.92
오남,진접,4호선,1.97
오류동,온수,1호선,1.82
오리,죽전,수인·분당선,1.79
오산,오산대,1호선,2.78
오산,진위,1호선,3.86
오이도,정왕,4호선,1.23
오이도,정왕,수인·분당선,1.23
옥수,응봉,경의·중앙선,1.74
옥수,한남,경의·중앙선,1.54
온수,천왕,7호선,1.54
